name,generation,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,,,,,,,,,,,,,,,,,
Galarian Weezing,1,2,Poison,Fairy,3,16,3,Levitate,Neutralizing Gas,Misty Surge,490,65,90,120,60,,,,Medium Fast,1,Amorphous,,,20,1,,,,,,,,,,,,,,,,,
Rhyhorn,1,2,Ground,Rock,1,115,3,Lightning Rod,Rock Head,Reckless,345,80,85,95,25,120,70,69,Slow,2,Field,Monster,50,20,0.5,,,,,,,,,,,,,,,,,
Rhydon,1,2,Ground,Rock,1.9,120,3,Lightning Rod,Rock Head,Reckless,485,105,130,120,40,60,70,170,Slow,2,Field,Monster,50,20,0.5,,,,,,,,,,,,,,,,,
Chansey,1,1,Normal,,1.1,34.6,3,Natural Cure,Serene Grace,Healer,450,250,5,5,50,30,140,395,Fast,1,Fairy,,0,40,1,,,,,,,,,,,,,,,,,
Tangela,1,1,Grass,,1,35,3,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,60,45,70,87,Medium Fast,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Kangaskhan,1,1,Normal,,2.2,80,3,Early Bird,Scrappy,Inner Focus,490,105,95,80,90,45,70,172,Medium Fast,1,Monster,,0,20,1,,,,,,,,,,,,,,,,,
Mega Kangaskhan,1,1,Normal,,2.2,100,1,Parental Bond,,,590,105,125,100,100,45,70,207,Medium Fast,1,Monster,,0,20,1,,,,,,,,,,,,,,,,,
Horsea,1,1,Water,,0.4,8,3,Swift Swim,Sniper,Damp,295,30,40,70,60,225,70,59,Medium Fast,2,Dragon,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Seadra,1,1,Water,,1.2,25,3,Poison Point,Sniper,Damp,440,55,65,95,85,75,70,154,Medium Fast,2,Dragon,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Goldeen,1,1,Water,,0.6,15,3,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,63,225,70,64,Medium Fast,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Seaking,1,1,Water,,1.3,39,3,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,68,60,70,158,Medium Fast,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Staryu,1,1,Water,,0.8,34.5,3,Illuminate,Natural Cure,Analytic,340,30,45,55,85,225,70,68,Slow,1,Water 3,,,20,1,,,,,,,,,,,,,,,,,
Starmie,1,2,Water,Psychic,1.1,80,3,Illuminate,Natural Cure,Analytic,520,60,75,85,115,60,70,182,Slow,1,Water 3,,,20,1,,,,,,,,,,,,,,,,,
Mr. Mime,1,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,460,40,45,65,90,45,70,161,Medium Fast,1,Human-Like,,50,25,1,,,,,,,,,,,,,,,,,
Galarian Mr. Mime,1,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,460,50,65,65,100,,,,Medium Fast,1,Human-Like,,,25,1,,,,,,,,,,,,,,,,,
Scyther,1,2,Bug,Flying,1.5,56,3,Swarm,Technician,Steadfast,500,70,110,80,105,45,70,100,Medium Fast,1,Bug,,50,25,1,,,,,,,,,,,,,,,,,
Jynx,1,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,455,65,50,35,95,45,70,159,Medium Fast,1,Human-Like,,0,25,1,,,,,,,,,,,,,,,,,
Electabuzz,1,1,Electric,,1.1,30,2,Static,,Vital Spirit,490,65,83,57,105,45,70,172,Medium Fast,1,Human-Like,,75,25,1,,,,,,,,,,,,,,,,,
Magmar,1,1,Fire,,1.3,44.5,2,Flame Body,,Vital Spirit,495,65,95,57,93,45,70,173,Medium Fast,1,Human-Like,,75,25,1,,,,,,,,,,,,,,,,,
Pinsir,1,1,Bug,,1.5,55,3,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,85,45,70,175,Slow,1,Bug,,50,25,1,,,,,,,,,,,,,,,,,
Mega Pinsir,1,2,Bug,Flying,1.7,59,1,Aerilate,,,600,65,155,120,105,45,70,210,Slow,1,Bug,,50,25,1,,,,,,,,,,,,,,,,,
Tauros,1,1,Normal,,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,490,75,100,95,110,45,70,172,Slow,1,Field,,100,20,1,,,,,,,,,,,,,,,,,
Magikarp,1,1,Water,,0.9,10,2,Swift Swim,,Rattled,200,20,10,55,80,255,70,40,Slow,2,Dragon,Water 2,50,5,1,,,,,,,,,,,,,,,,,
Gyarados,1,2,Water,Flying,6.5,235,2,Intimidate,,Moxie,540,95,125,79,81,45,70,189,Slow,2,Dragon,Water 2,50,5,1,,,,,,,,,,,,,,,,,
Mega Gyarados,1,2,Water,Dark,6.5,305,1,Mold Breaker,,,640,95,155,109,81,45,70,224,Slow,2,Dragon,Water 2,50,5,1,,,,,,,,,,,,,,,,,
Lapras,1,2,Water,Ice,2.5,220,3,Water Absorb,Shell Armor,Hydration,535,130,85,80,60,45,70,187,Slow,2,Monster,Water 1,50,40,1,,,,,,,,,,,,,,,,,
Ditto,1,1,Normal,,0.3,4,2,Limber,,Imposter,288,48,48,48,48,35,70,101,Medium Fast,1,Ditto,,,20,1,,,,,,,,,,,,,,,,,
Eevee,1,1,Normal,,0.3,6.5,3,Run Away,Adaptability,Anticipation,325,55,55,50,55,45,70,65,Medium Fast,1,Field,,87.5,35,1,,,,,,,,,,,,,,,,,
Partner Eevee,1,1,Normal,,0.3,6.5,1,,,Anticipation,435,65,75,70,75,45,70,65,Medium Fast,0,,,87.5,35,1,,,,,,,,,,,,,,,,,
Vaporeon,1,1,Water,,1,29,2,Water Absorb,,Hydration,525,130,65,60,65,45,70,184,Medium Fast,1,Field,,87.5,35,1,,,,,,,,,,,,,,,,,
Jolteon,1,1,Electric,,0.8,24.5,2,Volt Absorb,,Quick Feet,525,65,65,60,130,45,70,184,Medium Fast,1,Field,,87.5,35,1,,,,,,,,,,,,,,,,,
Flareon,1,1,Fire,,0.9,25,2,Flash Fire,,Guts,525,65,130,60,65,45,70,184,Medium Fast,1,Field,,87.5,35,1,,,,,,,,,,,,,,,,,
Porygon,1,1,Normal,,0.8,36.5,3,Trace,Download,Analytic,395,65,60,70,40,45,70,79,Medium Fast,1,Mineral,,,20,1,,,,,,,,,,,,,,,,,
Omanyte,1,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,35,45,70,71,Medium Fast,2,Water 1,Water 3,87.5,30,0.5,,,,,,,,,,,,,,,,,
Omastar,1,2,Rock,Water,1,35,3,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,55,45,70,173,Medium Fast,2,Water 1,Water 3,87.5,30,0.5,,,,,,,,,,,,,,,,,
Kabuto,1,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,70,71,Medium Fast,2,Water 1,Water 3,87.5,30,0.5,,,,,,,,,,,,,,,,,
Kabutops,1,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,80,45,70,173,Medium Fast,2,Water 1,Water 3,87.5,30,0.5,,,,,,,,,,,,,,,,,
Aerodactyl,1,2,Rock,Flying,1.8,59,3,Rock Head,Pressure,Unnerve,515,80,105,65,130,45,70,180,Slow,1,Flying,,87.5,35,0.5,,,,,,,,,,,,,,,,,
Mega Aerodactyl,1,2,Rock,Flying,2.1,79,1,Tough Claws,,,615,80,135,85,150,45,70,215,Slow,1,Flying,,87.5,35,0.5,,,,,,,,,,,,,,,,,
Snorlax,1,1,Normal,,2.1,460,3,Immunity,Thick Fat,Gluttony,540,160,110,65,30,25,70,189,Slow,1,Monster,,87.5,40,1,,,,,,,,,,,,,,,,,
Articuno,1,2,Ice,Flying,1.7,55.4,2,Pressure,,Snow Cloak,580,90,85,100,85,3,35,261,Slow,1,Undiscovered,,,80,1,,,,,,,,,,,,,,,,,
Zapdos,1,2,Electric,Flying,1.6,52.6,2,Pressure,,Static,580,90,90,85,100,3,35,261,Slow,1,Undiscovered,,,80,1,,,,,,,,,,,,,,,,,
Moltres,1,2,Fire,Flying,2,60,2,Pressure,,Flame Body,580,90,100,90,90,3,35,261,Slow,1,Undiscovered,,,80,1,,,,,,,,,,,,,,,,,
Dratini,1,1,Dragon,,1.8,3.3,2,Shed Skin,,Marvel Scale,300,41,64,45,50,45,35,60,Slow,2,Dragon,Water 1,50,40,1,,,,,,,,,,,,,,,,,
Dragonair,1,1,Dragon,,4,16.5,2,Shed Skin,,Marvel Scale,420,61,84,65,70,45,35,147,Slow,2,Dragon,Water 1,50,40,1,,,,,,,,,,,,,,,,,
Dragonite,1,2,Dragon,Flying,2.2,210,2,Inner Focus,,Multiscale,600,91,134,95,80,45,35,270,Slow,2,Dragon,Water 1,50,40,1,,,,,,,,,,,,,,,,,
Mewtwo,1,1,Psychic,,2,122,2,Pressure,,Unnerve,680,106,110,90,130,3,0,306,Slow,1,Undiscovered,,,120,1,,,,,,,,,,,,,,,,,
Mega Mewtwo X,1,2,Psychic,Fighting,2.3,127,1,Steadfast,,,780,106,190,100,130,3,0,351,Slow,1,Undiscovered,,,120,1,,,,,,,,,,,,,,,,,
Mega Mewtwo Y,1,1,Psychic,,1.5,33,1,Insomnia,,,780,106,150,70,140,3,0,351,Slow,1,Undiscovered,,,120,1,,,,,,,,,,,,,,,,,
Mew,1,1,Psychic,,0.4,4,1,Synchronize,,,600,100,100,100,100,45,100,270,Medium Slow,1,Undiscovered,,,120,1,,,,,,,,,,,,,,,,,
Chikorita,2,1,Grass,,0.9,6.4,2,Overgrow,,Leaf Guard,318,45,49,65,45,45,70,64,Medium Slow,2,Grass,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Bayleef,2,1,Grass,,1.2,15.8,2,Overgrow,,Leaf Guard,405,60,62,80,60,45,70,142,Medium Slow,2,Grass,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Meganium,2,1,Grass,,1.8,100.5,2,Overgrow,,Leaf Guard,525,80,82,100,80,45,70,236,Medium Slow,2,Grass,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Cyndaquil,2,1,Fire,,0.5,7.9,2,Blaze,,Flash Fire,309,39,52,43,65,45,70,62,Medium Slow,1,Field,,87.5,20,1,,,,,,,,,,,,,,,,,
Quilava,2,1,Fire,,0.9,19,2,Blaze,,Flash Fire,405,58,64,58,80,45,70,142,Medium Slow,1,Field,,87.5,20,1,,,,,,,,,,,,,,,,,
Typhlosion,2,1,Fire,,1.7,79.5,2,Blaze,,Flash Fire,534,78,84,78,100,45,70,240,Medium Slow,1,Field,,87.5,20,1,,,,,,,,,,,,,,,,,
Totodile,2,1,Water,,0.6,9.5,2,Torrent,,Sheer Force,314,50,65,64,43,45,70,63,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Croconaw,2,1,Water,,1.1,25,2,Torrent,,Sheer Force,405,65,80,80,58,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Feraligatr,2,1,Water,,2.3,88.8,2,Torrent,,Sheer Force,530,85,105,100,78,45,70,239,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Sentret,2,1,Normal,,0.8,6,3,Run Away,Keen Eye,Frisk,215,35,46,34,20,255,70,43,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Furret,2,1,Normal,,1.8,32.5,3,Run Away,Keen Eye,Frisk,415,85,76,64,90,90,70,145,Medium Fast,1,Field,,50,15,1,,,,,,,,,,,,,,,,,
Hoothoot,2,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,50,255,70,52,Medium Fast,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Noctowl,2,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,70,90,70,158,Medium Fast,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Ledyba,2,2,Bug,Flying,1,10.8,3,Swarm,Early Bird,Rattled,265,40,20,30,55,255,70,53,Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Ledian,2,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390,55,35,50,85,90,70,137,Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Spinarak,2,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250,40,60,40,30,255,70,50,Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Ariados,2,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400,70,90,70,40,90,70,140,Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Crobat,2,2,Poison,Flying,1.8,75,2,Inner Focus,,Infiltrator,535,85,90,80,130,90,70,241,Medium Fast,1,Flying,,50,15,1,,,,,,,,,,,,,,,,,
Chinchou,2,2,Water,Electric,0.5,12,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,67,190,70,66,Slow,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Lanturn,2,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,67,75,70,161,Slow,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Pichu,2,1,Electric,,0.3,2,2,Static,,Lightning Rod,205,20,40,15,60,190,70,41,Medium Fast,1,Undiscovered,,50,10,1,,,,,,,,,,,,,,,,,
Cleffa,2,1,Fairy,,0.3,3,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,15,150,140,44,Fast,1,Undiscovered,,25,10,1,,,,,,,,,,,,,,,,,
Igglybuff,2,2,Normal,Fairy,0.3,1,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,15,170,70,42,Fast,1,Undiscovered,,25,10,1,,,,,,,,,,,,,,,,,
Togepi,2,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245,35,20,65,20,190,70,49,Fast,1,Undiscovered,,87.5,10,1,,,,,,,,,,,,,,,,,
Togetic,2,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405,55,40,85,40,75,70,142,Fast,2,Fairy,Flying,87.5,10,1,,,,,,,,,,,,,,,,,
Natu,2,2,Psychic,Flying,0.2,2,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,190,70,64,Medium Fast,1,Flying,,50,20,1,,,,,,,,,,,,,,,,,
Xatu,2,2,Psychic,Flying,1.5,15,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,75,70,165,Medium Fast,1,Flying,,50,20,1,,,,,,,,,,,,,,,,,
Mareep,2,1,Electric,,0.6,7.8,2,Static,,Plus,280,55,40,40,35,235,70,56,Medium Slow,2,Field,Monster,50,20,1,,,,,,,,,,,,,,,,,
Flaaffy,2,1,Electric,,0.8,13.3,2,Static,,Plus,365,70,55,55,45,120,70,128,Medium Slow,2,Field,Monster,50,20,1,,,,,,,,,,,,,,,,,
Ampharos,2,1,Electric,,1.4,61.5,2,Static,,Plus,510,90,75,85,55,45,70,230,Medium Slow,2,Field,Monster,50,20,1,,,,,,,,,,,,,,,,,
Mega Ampharos,2,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,,,610,90,95,105,45,45,70,275,Medium Slow,2,Field,Monster,50,20,1,,,,,,,,,,,,,,,,,
Bellossom,2,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490,75,80,95,50,45,70,221,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Marill,2,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,40,190,70,88,Fast,2,Fairy,Water 1,50,10,1,,,,,,,,,,,,,,,,,
Azumarill,2,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,50,75,70,189,Fast,2,Fairy,Water 1,50,10,1,,,,,,,,,,,,,,,,,
Sudowoodo,2,1,Rock,,1.2,38,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,70,144,Medium Fast,1,Mineral,,50,20,0.5,,,,,,,,,,,,,,,,,
Politoed,2,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,70,45,70,225,Medium Slow,1,Water 1,,50,20,1,,,,,,,,,,,,,,,,,
Hoppip,2,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,50,255,70,50,Medium Slow,2,Fairy,Grass,50,20,1,,,,,,,,,,,,,,,,,
Skiploom,2,2,Grass,Flying,0.6,1,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,80,120,70,119,Medium Slow,2,Fairy,Grass,50,20,1,,,,,,,,,,,,,,,,,
Jumpluff,2,2,Grass,Flying,0.8,3,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,110,45,70,207,Medium Slow,2,Fairy,Grass,50,20,1,,,,,,,,,,,,,,,,,
Aipom,2,1,Normal,,0.8,11.5,3,Run Away,Pickup,Skill Link,360,55,70,55,85,45,70,72,Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Sunkern,2,1,Grass,,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,235,70,36,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Sunflora,2,1,Grass,,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,30,120,70,149,Medium Slow,1,Grass,,50,20,1,,,,,,,,,,,,,,,,,
Yanma,2,2,Bug,Flying,1.2,38,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,95,75,70,78,Medium Fast,1,Bug,,50,20,1,,,,,,,,,,,,,,,,,
Wooper,2,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210,55,45,45,15,255,70,42,Medium Fast,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Quagsire,2,2,Water,Ground,1.4,75,3,Damp,Water Absorb,Unaware,430,95,85,85,35,90,70,151,Medium Fast,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Espeon,2,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525,65,65,60,110,45,70,184,Medium Fast,1,Field,,87.5,35,1,,,,,,,,,,,,,,,,,
Umbreon,2,1,Dark,,1,27,2,Synchronize,,Inner Focus,525,95,65,110,65,45,35,184,Medium Fast,1,Field,,87.5,35,1,,,,,,,,,,,,,,,,,
Murkrow,2,2,Dark,Flying,0.5,2.1,3,Insomnia,Super Luck,Prankster,405,60,85,42,91,30,35,81,Medium Slow,1,Flying,,50,20,1,,,,,,,,,,,,,,,,,
Slowking,2,2,Water,Psychic,2,79.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,80,30,70,70,172,Medium Fast,2,Monster,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Misdreavus,2,1,Ghost,,0.7,1,1,Levitate,,,435,60,60,60,85,45,35,87,Fast,1,Amorphous,,50,25,0,,,,,,,,,,,,,,,,,
Unown,2,1,Psychic,,0.5,5,1,Levitate,,,336,48,72,48,48,225,70,118,Medium Fast,1,Undiscovered,,,40,1,,,,,,,,,,,,,,,,,
Wobbuffet,2,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405,190,33,58,33,45,70,142,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Girafarig,2,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,85,60,70,159,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Pineco,2,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290,50,65,90,15,190,70,58,Medium Fast,1,Bug,,50,20,1,,,,,,,,,,,,,,,,,
Forretress,2,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465,75,90,140,40,75,70,163,Medium Fast,1,Bug,,50,20,0.5,,,,,,,,,,,,,,,,,
Dunsparce,2,1,Normal,,1.5,14,3,Serene Grace,Run Away,Rattled,415,100,70,70,45,190,70,145,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Gligar,2,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,85,60,70,86,Medium Slow,1,Bug,,50,20,1,,,,,,,,,,,,,,,,,
Steelix,2,2,Steel,Ground,9.2,400,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,30,25,70,179,Medium Fast,1,Mineral,,50,25,0.5,,,,,,,,,,,,,,,,,
Mega Steelix,2,2,Steel,Ground,10.5,740,1,Sand Force,,,610,75,125,230,30,25,70,214,Medium Fast,1,Mineral,,50,25,0.5,,,,,,,,,,,,,,,,,
Snubbull,2,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,30,190,70,60,Fast,2,Fairy,Field,25,20,1,,,,,,,,,,,,,,,,,
Granbull,2,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,45,75,70,158,Fast,2,Fairy,Field,25,20,1,,,,,,,,,,,,,,,,,
Qwilfish,2,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,85,45,70,88,Medium Fast,1,Water 2,,50,20,1,,,,,,,,,,,,,,,,,
Scizor,2,2,Bug,Steel,1.8,118,3,Swarm,Technician,Light Metal,500,70,130,100,65,25,70,175,Medium Fast,1,Bug,,50,25,0.5,,,,,,,,,,,,,,,,,
Mega Scizor,2,2,Bug,Steel,2,125,1,Technician,,,600,70,150,140,75,25,70,210,Medium Fast,1,Bug,,50,25,0.5,,,,,,,,,,,,,,,,,
Shuckle,2,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,5,190,70,177,Medium Slow,1,Bug,,50,20,0.5,,,,,,,,,,,,,,,,,
Heracross,2,2,Bug,Fighting,1.5,54,3,Swarm,Guts,Moxie,500,80,125,75,85,45,70,175,Slow,1,Bug,,50,25,1,,,,,,,,,,,,,,,,,
Mega Heracross,2,2,Bug,Fighting,1.7,62.5,1,Skill Link,,,600,80,185,115,75,45,70,210,Slow,1,Bug,,50,25,1,,,,,,,,,,,,,,,,,
Sneasel,2,2,Dark,Ice,0.9,28,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,115,60,35,86,Medium Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Teddiursa,2,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,40,120,70,66,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Ursaring,2,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,55,60,70,175,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Slugma,2,1,Fire,,0.7,35,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,20,190,70,50,Medium Fast,1,Amorphous,,50,20,1,,,,,,,,,,,,,,,,,
Magcargo,2,2,Fire,Rock,0.8,55,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,30,75,70,151,Medium Fast,1,Amorphous,,50,20,0.5,,,,,,,,,,,,,,,,,
Swinub,2,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,50,225,70,50,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Piloswine,2,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,50,75,70,158,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Corsola,2,2,Water,Rock,0.6,5,3,Hustle,Natural Cure,Regenerator,410,65,55,95,35,60,70,144,Fast,2,Water 1,Water 3,25,20,0.5,,,,,,,,,,,,,,,,,
Galarian Corsola,2,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,30,,,,Fast,2,Water 1,Water 3,,20,0,,,,,,,,,,,,,,,,,
Remoraid,2,1,Water,,0.6,12,3,Hustle,Sniper,Moody,300,35,65,35,65,190,70,60,Medium Fast,2,Water 1,Water 2,50,20,1,,,,,,,,,,,,,,,,,
Octillery,2,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,45,75,70,168,Medium Fast,2,Water 1,Water 2,50,20,1,,,,,,,,,,,,,,,,,
Delibird,2,2,Ice,Flying,0.9,16,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,75,45,70,116,Fast,2,Field,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Mantine,2,2,Water,Flying,2.1,220,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,70,25,70,170,Slow,1,Water 1,,50,25,1,,,,,,,,,,,,,,,,,
Skarmory,2,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,70,25,70,163,Slow,1,Flying,,50,25,0.5,,,,,,,,,,,,,,,,,
Houndour,2,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,65,120,35,66,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Houndoom,2,2,Dark,Fire,1.4,35,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,95,45,35,175,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Mega Houndoom,2,2,Dark,Fire,1.9,49.5,1,Solar Power,,,600,75,90,90,115,45,35,210,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Kingdra,2,2,Water,Dragon,1.8,152,3,Swift Swim,Sniper,Damp,540,75,95,95,85,45,70,243,Medium Fast,2,Dragon,Water 1,50,20,1,,,,,,,,,,,,,,,,,
Phanpy,2,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,120,70,66,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Donphan,2,1,Ground,,1.1,120,2,Sturdy,,Sand Veil,500,90,120,120,50,60,70,175,Medium Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Porygon2,2,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,60,45,70,180,Medium Fast,1,Mineral,,,20,1,,,,,,,,,,,,,,,,,
Stantler,2,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,45,70,163,Slow,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Smeargle,2,1,Normal,,1.2,58,3,Own Tempo,Technician,Moody,250,55,20,35,75,45,70,88,Fast,1,Field,,50,20,1,,,,,,,,,,,,,,,,,
Tyrogue,2,1,Fighting,,0.7,21,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,75,70,42,Medium Fast,1,Undiscovered,,100,25,1,,,,,,,,,,,,,,,,,
Hitmontop,2,1,Fighting,,1.4,48,3,Intimidate,Technician,Steadfast,455,50,95,95,70,45,70,159,Medium Fast,1,Human-Like,,100,25,1,,,,,,,,,,,,,,,,,
Smoochum,2,2,Ice,Psychic,0.4,6,3,Oblivious,Forewarn,Hydration,305,45,30,15,65,45,70,61,Medium Fast,1,Undiscovered,,0,25,1,,,,,,,,,,,,,,,,,
Elekid,2,1,Electric,,0.6,23.5,2,Static,,Vital Spirit,360,45,63,37,95,45,70,72,Medium Fast,1,Undiscovered,,75,25,1,,,,,,,,,,,,,,,,,
Magby,2,1,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,83,45,70,73,Medium Fast,1,Undiscovered,,75,25,1,,,,,,,,,,,,,,,,,
